Date/Time,Site ID,Flow,Target 1 Concentration,Target 1,Target 1 Units,Target 1 Type,Sample Collection Method,Target 1 Detection Limit,Lab Method ID,Flow Units,Sample ID
2023-04-24,Site_FI_31,97194,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_31_S1
2023-04-24,Site_FI_28,263990,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_28_S1
2023-04-24,Site_FI_8,31005,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_8_S1
2023-04-24,Site_FI_15,56727,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_15_S1
2023-04-24,Site_FI_9,31455,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_9_S1
2023-04-24,Site_FI_25,59002,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_25_S1
2023-04-24,Site_FI_1,21897,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_1_S1
2023-04-24,Site_FI_29,84335,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_29_S1
2023-04-24,Site_FI_5,76401,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_5_S1
2023-04-24,Site_FI_17,28181,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_17_S1
2023-04-17,Site_FI_31,109521,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_31_S2
2023-04-17,Site_FI_28,277954,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_28_S2
2023-04-17,Site_FI_8,24959,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_8_S2
2023-04-17,Site_FI_15,52401,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_15_S2
2023-04-17,Site_FI_9,23042,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_9_S2
2023-04-17,Site_FI_26,22349,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_26_S1
2023-04-17,Site_FI_25,50696,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_25_S2
2023-04-17,Site_FI_1,15897,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_1_S2
2023-04-17,Site_FI_29,66973,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_29_S2
2023-04-17,Site_FI_5,93444,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_5_S2
2023-04-17,Site_FI_17,30307,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_17_S2
2023-04-11,Site_FI_31,115124,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_31_S3
2023-04-11,Site_FI_28,289713,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_28_S3
2023-04-11,Site_FI_8,23418,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_8_S3
2023-04-11,Site_FI_15,49298,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_15_S3
2023-04-11,Site_FI_9,20520,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_9_S3
2023-04-11,Site_FI_25,50233,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_25_S3
2023-04-11,Site_FI_1,14638,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_1_S3
2023-04-11,Site_FI_29,56347,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_29_S3
2023-04-11,Site_FI_5,78417,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_5_S3
2023-04-11,Site_FI_17,26238,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_17_S3
2023-04-03,Site_FI_31,121076,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_31_S4
2023-04-03,Site_FI_28,313194,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_28_S4
2023-04-03,Site_FI_8,16472,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_8_S4
2023-04-03,Site_FI_15,36627,,N2,gc/L,SARS,24-hour composite,8030,THL_kuo,m^3/d,Site_FI_15_S4
